src,dst,time,hops,partitions
3340,3865,0.9982352256774902,0,1
1418,4606,3.564121961593628,4,1
141,1984,1.4725887775421143,0,1
3321,3386,1.5479421615600586,0,1
5566,1075,1.773315668106079,0,1
7151,7283,1.7539434432983398,0,1
216,2129,1.9059007167816162,0,1
6897,5594,1.7398045063018799,0,1
2837,696,1.2257204055786133,0,1
5500,3477,1.646442174911499,0,1
1110,5464,7.717176198959351,0,1
2252,3357,1.045316457748413,0,1
7688,5857,1.248227834701538,0,1
54,7368,1.4675383567810059,0,1
6949,2951,1.2316746711730957,0,1
7150,6699,1.6640970706939697,0,1
4518,4409,1.6582372188568115,0,1
4944,4038,1.6695778369903564,0,1
4445,6840,1.7201778888702393,0,1
2552,3824,1.2834792137145996,0,1
1943,1114,1.2336552143096924,0,1
6209,3506,1.4085745811462402,0,1
7105,5199,1.5764358043670654,0,1
7052,1286,1.5960757732391357,0,1
2058,1458,1.70269775390625,0,1
4410,3924,4.450840711593628,4,1
2135,3106,1.3172242641448975,0,1
1627,2429,1.6909258365631104,0,1
778,5839,1.4988889694213867,0,1
4146,3034,1.2253341674804688,0,1
546,4502,1.3553261756896973,0,1
3786,1131,2.461068630218506,0,1
1930,7485,1.6709387302398682,0,1
3191,1981,2.004568576812744,3,1
1272,3776,1.0170397758483887,0,1
6956,3033,1.1190581321716309,0,1
4792,6111,1.15401291847229,0,1
6016,3590,1.1388375759124756,0,1
6522,2418,1.1059675216674805,0,1
5702,792,1.5977208614349365,0,1
264,7456,1.131648063659668,0,1
4576,1495,5.708485841751099,5,1
5136,2361,1.3299705982208252,0,1
6264,5529,1.423741340637207,0,1
616,4294,4.2153332233428955,4,1
6198,6063,1.2644855976104736,0,1
4127,6720,1.3102450370788574,0,1
5683,1851,2.072777032852173,0,1
3885,59,56.81982064247131,5,1
2935,5268,1.3453123569488525,3,1
3421,685,1.2104392051696777,0,1
3044,7348,2.0798046588897705,0,1
1071,3468,1.2324116230010986,0,1
849,4067,1.2166602611541748,0,1
7279,7207,1.1856575012207031,0,1
6355,7432,1.2371294498443604,0,1
1279,5032,1.1964631080627441,0,1
5504,262,1.234677791595459,0,1
2702,5395,1.003530502319336,0,1
4608,5214,1.5317513942718506,0,1
728,345,1.0685203075408936,0,1
278,5974,1.1049911975860596,0,1
3198,5962,1.218003273010254,0,1
6481,4016,1.54522705078125,0,1
4846,0,1.4012703895568848,0,1
833,6723,1.246307134628296,0,1
3190,2068,1.5728168487548828,0,1
2717,5062,5.003114461898804,5,1
6644,3350,1.0399539470672607,0,1
1834,1749,1.510890007019043,0,1
1087,4056,3.253091812133789,4,1
7148,89,0.9287195205688477,0,1
5073,5513,1.0591764450073242,0,1
1478,3723,1.1635699272155762,0,1
3340,1478,1.035607099533081,0,1
4530,7344,1.4394941329956055,0,1
2625,824,1.2518467903137207,0,1
2720,2601,1.0992324352264404,0,1
4729,1500,1.1507704257965088,0,1
891,3735,1.5824933052062988,0,1
5423,7223,1.4244897365570068,0,1
1158,5413,1.3241257667541504,0,1
4924,4024,1.0067005157470703,0,1
2576,3440,1.0780363082885742,0,1
951,2460,1.3628404140472412,0,1
6462,173,1.1795847415924072,0,1
992,6887,1.0484280586242676,0,1
3320,588,1.0826327800750732,0,1
1738,93,3.346790313720703,4,1
1055,6017,1.7960116863250732,3,1
3845,3557,1.1251351833343506,0,1
5078,6643,1.5002799034118652,0,1
7605,3971,1.13022780418396,0,1
1579,2882,1.1635987758636475,0,1
2559,3724,1.276615858078003,0,1
6955,327,1.065979242324829,0,1
5670,5612,1.0470662117004395,0,1
7696,7149,1.0175914764404297,0,1
6915,4609,3.081644058227539,0,1
2806,7165,1.3324310779571533,0,1
3178,2707,4.5467212200164795,4,1
595,5797,0.9768917560577393,0,1
3131,7002,1.1789228916168213,0,1
509,3498,1.4759085178375244,3,1
6055,1599,0.8810989856719971,0,1
7321,454,1.083150863647461,0,1
5109,4894,4.452360153198242,0,1
4327,5561,0.9148523807525635,0,1
4188,1402,2.627378225326538,0,1
5150,4827,3.63269305229187,0,1
7222,7643,1.138092279434204,0,1
3094,4090,1.0435147285461426,0,1
6053,1882,1.0554304122924805,0,1
3353,5551,1.1302905082702637,0,1
590,5852,2.3052048683166504,3,1
3052,56,1.000093698501587,0,1
6467,5023,1.1175510883331299,0,1
899,2727,1.0604722499847412,0,1
1467,4841,1.0249762535095215,0,1
1359,6035,1.0668621063232422,0,1
3576,279,1.1308953762054443,0,1
877,4823,1.836958646774292,3,1
1010,6045,0.9741299152374268,0,1
4516,5440,1.364084243774414,0,1
7445,3946,1.0626120567321777,0,1
1256,2747,1.4169518947601318,0,1
1724,4818,2.117640256881714,3,1
4857,2247,0.9898769855499268,0,1
6226,5011,1.0929105281829834,0,1
2530,3905,1.2285141944885254,0,1
1073,1377,1.5161943435668945,0,1
1883,358,3.4072072505950928,4,1
6300,1109,0.8942744731903076,0,1
2375,5641,1.2607102394104004,0,1
1198,401,1.5206315517425537,0,1
5774,819,1.8637492656707764,0,1
5233,607,1.3314545154571533,0,1
5401,1484,1.1126701831817627,0,1
2871,3381,1.2042346000671387,0,1
6697,2955,1.0155606269836426,0,1
3991,4648,1.417604684829712,0,1
7427,3701,1.0371339321136475,0,1
5664,6857,1.0741045475006104,0,1
2280,119,2.8222925662994385,4,1
1171,4442,3.6150758266448975,4,1
2586,4454,2.5904135704040527,4,1
713,2320,3.7538084983825684,4,1
3392,3429,0.8870718479156494,0,1
3904,4778,1.2550773620605469,0,1
5253,3618,1.0685944557189941,0,1
1396,4177,1.0678296089172363,0,1
1755,1331,1.0974760055541992,3,1
3703,2835,0.7885041236877441,3,1
5533,7684,0.8830034732818604,0,1
3096,553,1.3917717933654785,0,1
4398,6575,1.1440489292144775,0,1
935,7365,1.1436238288879395,0,1
876,1441,1.1927986145019531,0,1
4609,239,1.2095425128936768,0,1
1450,7069,1.3125784397125244,0,1
3004,4937,1.0992457866668701,0,1
1505,4142,3.6071462631225586,4,1
459,1442,0.9063339233398438,0,1
6336,211,1.0636177062988281,0,1
4177,1352,1.1132221221923828,0,1
2686,2386,1.0335605144500732,0,1
6424,5073,1.340392827987671,0,1
2387,2979,1.1596457958221436,0,1
3099,966,1.1679375171661377,0,1
6043,2744,1.1604588031768799,0,1
2960,3297,1.2959959506988525,0,1
5292,4809,1.6538410186767578,0,1
